#,Application Role,Application,Platform,Entitlement Description,Entitlement Value,Field-Level Security Name,Field-Level Security Value,Additional Comments
49,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Periodic Plan/Actual Comparison,S_ALR_87012256,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
50,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Payment Advice Overview(Header/Item),S_ALR_87012353,,,Display Access
51,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Cost Centers: Actual/Plan/Variance,S_ALR_87013611,,,Display Access
52,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Execute pricing report,V/LD,,,Display Access
53,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display Sales Order,VA03,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
54,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,List of Sales Orders,VA05,,,Display Access
55,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display Inquiry,VA13,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
56,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Inquiries List,VA15,,,Display Access
57,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display Billing Document,VF03,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
58,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,List Billing Documents,VF05,,,Display Access
59,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,List Blocked Billing Documents,VFX3,,,Display Access
60,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display Condition,VK13,,,Display Access
61,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display IDoc,WE02,,,Display Access
62,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Display Customer (Centrally),XD03,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
63,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Changes (Centrally),XD04,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
64,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Accounting documents balancing rpt,ZBAL,,,
65,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Report 1099,ZCM_1099,,,
66,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master Bank Information,ZCM_BANK,,,
67,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master Credit/Dunning Rpt 1,ZCM_CRED01,,,
68,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master Credit/Dunning Rpt 2,ZCM_CRED02,,,
69,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master with Email,ZCM_EMAIL,,,
70,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master AR Report 5,ZCM_MASTER05,,,
71,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master & AR Report 3,ZCM_MSTR01,,,
72,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master & AR Report 4,ZCM_MSTR02,,,
73,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master Profit Center Report,ZCM_PCTR,,,
74,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Report for Customers for NFO Project,ZCM_SD01,,,
75,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,CUSTOMER MASTER STATEMENT REPORT,ZCM_STATEMENT,,,
76,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Operating Report A - Warehouse,ZCSO_ZO09,,,
77,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Document List,ZDOCLIST,,,
78,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Bridging Report,ZF_BRIDGE,,,
79,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Line Items,ZFBL5N,,,
80,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Notes Tickler/Query,ZFJ4I3,,,
81,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,CONTROL RELEASE PLANT VIEWS,ZMM_PLTVIEWS,,,
82,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Idoc Monitoring Report - Master Data,ZMON,,,
83,ZSF_MASTERPERFORMERPRICING_EU,SAP R/3 Production,PR1,Customer Master Audit Trail,ZOV51,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
