#,Application Role,Application,Platform,Entitlement Description,Entitlement Value,Field-Level Security Name,Field-Level Security Value,Additional Comments
1,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Credit Management - Overview,F.31,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
2,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Correspondence: Print Int.Documents,F.62,BUKRS,Refer to Master EU Org Level Field Values Document,
3,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Accounting Editing Options,FB00,,,Display Access
4,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Display Document,FB03,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
5,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Document Changes,FB04,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
6,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Correspondence Request,FB12,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
7,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Display Payment Advice,FBE3,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
8,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Display Customer Line Items,FBL5,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
9,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Customer Line Items,FBL5N,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
10,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Display Dunning Procedure,FBMA,,,Display Access
11,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Display Parked Document,FBV3,BUKRS,Refer to Master EU Org Level Field Values Document,Display Access
12,ZSF_MASTERPERFORMERCUSTOMER_EU,SAP R/3 Production,PR1,Early Warning List,FCV3,,,Display Access
